setting,video,brain,nmi,ari,n_video_clusters,n_brain_clusters
agglomerative_ward_K49,video.vjepa2,brain.brain_jepa,0.17087713100144494,0.008496759584185781,49,49
agglomerative_ward_K49,video.vjepa2,brain.swift,0.14133547443138628,0.0014054235046069168,49,49
agglomerative_ward_K49,video.clip,brain.roi_mean,0.23504758433731734,0.026062793818187928,49,49
agglomerative_ward_K49,video.clip,brain.brain_jepa,0.18248535504432742,0.009574906646204272,49,49
agglomerative_ward_K49,video.clip,brain.swift,0.15491187416256905,0.004196419507865785,49,49
agglomerative_ward_K5,video.vjepa2,brain.roi_mean,0.02751634859654807,0.016993872325667417,5,5
agglomerative_ward_K5,video.vjepa2,brain.brain_jepa,0.008744654610287611,0.00040232234038248423,5,5
agglomerative_ward_K5,video.vjepa2,brain.swift,0.013457090766144455,0.01152413350126888,5,5
agglomerative_ward_K5,video.clip,brain.roi_mean,0.03248320467165591,0.01402870716291903,5,5
agglomerative_ward_K5,video.clip,brain.brain_jepa,0.01875512793926932,0.01706864618042549,5,5
agglomerative_ward_K5,video.clip,brain.swift,0.007776210931767857,0.0047877992464065815,5,5
agglomerative_ward_K50,video.vjepa2,brain.roi_mean,0.2118845654745278,0.016342361272754007,50,50
agglomerative_ward_K50,video.vjepa2,brain.brain_jepa,0.175516483629335,0.008824503766693807,50,50
agglomerative_ward_K50,video.vjepa2,brain.swift,0.14487351645951047,0.0014848747561594228,50,50
agglomerative_ward_K50,video.clip,brain.roi_mean,0.2382758757151082,0.02600496207204624,50,50
agglomerative_ward_K50,video.clip,brain.brain_jepa,0.18654123038380085,0.009679388314352246,50,50
agglomerative_ward_K50,video.clip,brain.swift,0.15821445695299305,0.00423620598304174,50,50
agglomerative_ward_K6,video.vjepa2,brain.roi_mean,0.029410606720007487,0.020215894847503427,6,6
agglomerative_ward_K6,video.vjepa2,brain.brain_jepa,0.014265864123397665,0.011980185557393488,6,6
agglomerative_ward_K6,video.vjepa2,brain.swift,0.012163469060610511,0.016380249858575505,6,6
agglomerative_ward_K6,video.clip,brain.roi_mean,0.03155541680320196,0.010000150518921716,6,6
agglomerative_ward_K6,video.clip,brain.brain_jepa,0.021227369568769725,0.014441130899779976,6,6
agglomerative_ward_K6,video.clip,brain.swift,0.007869239128972548,0.0008611495043265319,6,6
agglomerative_ward_K7,video.vjepa2,brain.roi_mean,0.03986928984887917,0.014577979372973525,7,7
agglomerative_ward_K7,video.vjepa2,brain.brain_jepa,0.01729957850151724,0.01248784448108781,7,7
agglomerative_ward_K7,video.vjepa2,brain.swift,0.015612258226438906,0.01458583708047537,7,7
agglomerative_ward_K7,video.clip,brain.roi_mean,0.04617282786479928,0.016337838503518727,7,7
agglomerative_ward_K7,video.clip,brain.brain_jepa,0.02285851993203502,0.015952530112358452,7,7
agglomerative_ward_K7,video.clip,brain.swift,0.01269776547503808,0.005215231866542185,7,7
