pc,cumulative_video_variance,seq_r2_raw,seq_r2_clipped,seq_pearson_r,seq_spearman_r,seq_p_raw,seq_q_raw,seq_p_clip,seq_q_clip,shuf_r2_raw,shuf_r2_clipped,shuf_pearson_r,shuf_spearman_r,shuf_p_raw,shuf_q_raw,shuf_p_clip,shuf_q_clip,confirmed_shared_seq,confirmed_shared_shuf
11,0.4867767857012011,-0.16393987787232334,0.0,0.18980628080256648,0.1985433817919246,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.14869669863512583,0.0,0.19270639506211562,0.19897449722542185,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
12,0.5033351853523869,-0.16319172000942048,0.0,0.1934699762019371,0.2010473228085914,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.17775167170787887,0.0,0.18897758292530453,0.20090832812325898,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
13,0.5190436153542181,-0.21992627035406076,0.0,0.1232214731497293,0.11746236571563477,0.003996003996003996,0.023505905858847036,1.0,1.0,-0.19379408155990233,0.0,0.13932916088135724,0.14857455836304864,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
14,0.5333019705573562,-0.17762304523693206,0.0,0.15836912612986817,0.14724404906801816,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.17819990016536863,0.0,0.16548510525051888,0.16250502282138235,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
15,0.5470830577118077,-0.22083101262837407,0.0,0.14906626343982354,0.17166619946912362,0.001998001998001998,0.01332001332001332,1.0,1.0,-0.20248181344425392,0.0,0.16135034252436523,0.18021770285743743,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
16,0.5595756617545425,-0.2300892377902007,0.0,0.08291813923218531,0.08915703076880717,0.003996003996003996,0.023505905858847036,1.0,1.0,-0.21066083617367556,0.0,0.11296981052671508,0.1039160717284507,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
17,0.5718196467213602,-0.24826098579596173,0.0,0.08870443156839963,0.09540787296840772,1.0,1.0,1.0,1.0,-0.2727831887945724,0.0,0.07177752790966466,0.08698197543375026,1.0,1.0,1.0,1.0,False,False
18,0.583519580794486,-0.2371131005797879,0.0,0.09070571854838443,0.07421806422647918,1.0,1.0,1.0,1.0,-0.30085581891697905,0.0,0.07468455926336005,0.05844032919458297,1.0,1.0,1.0,1.0,False,False
19,0.5945082328073852,-0.2831208985844618,0.0,0.05631428551145423,0.05091357758000873,1.0,1.0,1.0,1.0,-0.2534112562405176,0.0,0.0632020966675671,0.06161091473824067,1.0,1.0,1.0,1.0,False,False
20,0.6046403832436532,-0.24545907998335617,0.0,0.07780914733343589,0.08384661221478441,1.0,1.0,1.0,1.0,-0.24155602583030125,0.0,0.05761964310902604,0.07083539758747787,1.0,1.0,1.0,1.0,False,False
21,0.6145394556602078,-0.20811362601997402,0.0,0.11428701629728541,0.11840795209681935,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.2301678769078553,0.0,0.10359664819291473,0.1073660598689172,0.003996003996003996,0.01998001998001998,1.0,1.0,False,False
22,0.623998569115285,-0.3549472933238332,0.0,0.02076456608445836,0.047614631113370526,1.0,1.0,1.0,1.0,-0.34064585511603845,0.0,0.04194299937732664,0.06857158818303798,1.0,1.0,1.0,1.0,False,False
23,0.6328489721861118,-0.25496731531123107,0.0,0.0806543108408997,0.08671026750611042,1.0,1.0,1.0,1.0,-0.29887638380116,0.0,0.04951215341928956,0.06432576637716657,1.0,1.0,1.0,1.0,False,False
