subject,map,network,mean
2,unique_av_vc,SomMot,0.001100333702944273
2,unique_av_vc,DorsAttn,0.00045907095888693227
2,unique_av_vc,SalVentAttn,0.0006271408395073064
2,unique_av_vc,Limbic,0.0006704350318243286
2,unique_av_vc,Cont,0.0008721287204306765
2,unique_av_vc,Default,0.0008017993367709815
3,unique_av_vc,Vis,0.0002594239658065076
3,unique_av_vc,SomMot,0.0004882961887431213
3,unique_av_vc,DorsAttn,0.00028249655373167084
3,unique_av_vc,SalVentAttn,0.0004382395243542112
3,unique_av_vc,Limbic,0.00017216792942482002
3,unique_av_vc,Cont,0.00046433680764375
3,unique_av_vc,Default,0.000329111480454236
4,unique_av_vc,Vis,0.0001534087826052435
4,unique_av_vc,SomMot,0.000443742084117708
4,unique_av_vc,DorsAttn,0.00022330234719464994
4,unique_av_vc,SalVentAttn,0.0003148567512401096
4,unique_av_vc,Limbic,0.0002934091464698414
4,unique_av_vc,Cont,0.0005154003412384705
4,unique_av_vc,Default,0.000680410741065463
5,unique_av_vc,Vis,0.0001773071603045037
5,unique_av_vc,SomMot,0.0005825436515845313
5,unique_av_vc,DorsAttn,0.0002954083993328295
5,unique_av_vc,SalVentAttn,0.0002674303511783346
5,unique_av_vc,Limbic,0.0001608242656344115
5,unique_av_vc,Cont,0.0003112054814458151
5,unique_av_vc,Default,0.0002853263935354463
1,unique_e2_vc,Vis,0.0004135403605996613
1,unique_e2_vc,SomMot,0.0005837723809292208
1,unique_e2_vc,DorsAttn,0.00032463551557215564
1,unique_e2_vc,SalVentAttn,0.00040664223238635563
1,unique_e2_vc,Limbic,0.000398207364124949
1,unique_e2_vc,Cont,0.0005594741445758449
1,unique_e2_vc,Default,0.00040190863401390575
2,unique_e2_vc,Vis,0.0004094762558785721
2,unique_e2_vc,SomMot,0.0009011672917226799
2,unique_e2_vc,DorsAttn,0.0003182489627330857
2,unique_e2_vc,SalVentAttn,0.0003677936200050855
2,unique_e2_vc,Limbic,0.0003652249308700664
